image_path,artist,style,genre,style_top1_name,style_top1_score,style_top2_name,style_top2_score,style_top3_name,style_top3_score,style_top4_name,style_top4_score,style_top5_name,style_top5_score
van_gogh/van_gogh_test_0.jpg,vincent-van-gogh,Realism,sketch_and_study,Realism,0.906880,Post_Impressionism,0.574481,High_Renaissance,0.461601,Baroque,0.412266,Impressionism,0.318865
van_gogh/van_gogh_test_1.jpg,vincent-van-gogh,Post_Impressionism,genre_painting,Post_Impressionism,0.876080,Realism,0.772125,Baroque,0.326081,Impressionism,0.319581,High_Renaissance,0.301594
van_gogh/van_gogh_test_2.jpg,vincent-van-gogh,Realism,cityscape,Post_Impressionism,0.811555,Impressionism,0.758921,Realism,0.587996,Baroque,0.434099,Expressionism,0.345799
van_gogh/van_gogh_test_3.jpg,vincent-van-gogh,Post_Impressionism,still_life,Realism,0.802238,Post_Impressionism,0.787189,Impressionism,0.598903,Cubism,0.396419,High_Renaissance,0.355060
van_gogh/van_gogh_test_4.jpg,vincent-van-gogh,Realism,still_life,Realism,0.860539,Post_Impressionism,0.674546,Cubism,0.575263,High_Renaissance,0.397759,Baroque,0.387044
van_gogh/van_gogh_test_5.jpg,vincent-van-gogh,Realism,sketch_and_study,Realism,0.904574,Baroque,0.505858,Post_Impressionism,0.499448,High_Renaissance,0.408452,Early_Renaissance,0.343661
van_gogh/van_gogh_test_6.jpg,vincent-van-gogh,Post_Impressionism,cityscape,Post_Impressionism,0.908635,Impressionism,0.506709,Realism,0.501651,Expressionism,0.432009,Baroque,0.325513
van_gogh/van_gogh_test_7.jpg,vincent-van-gogh,Realism,landscape,Post_Impressionism,0.834695,Impressionism,0.652717,Realism,0.618907,Expressionism,0.472842,Baroque,0.438151
van_gogh/van_gogh_test_8.jpg,vincent-van-gogh,Realism,genre_painting,Realism,0.916058,Baroque,0.580625,High_Renaissance,0.368335,Post_Impressionism,0.365081,Expressionism,0.335891
van_gogh/van_gogh_test_9.jpg,vincent-van-gogh,Realism,sketch_and_study,Realism,0.901774,High_Renaissance,0.545358,Symbolism,0.471846,Expressionism,0.427887,Post_Impressionism,0.423717
monet/monet_test_0.jpg,claude-monet,Impressionism,landscape,Impressionism,0.900722,Post_Impressionism,0.667701,Expressionism,0.402425,Early_Renaissance,0.363232,Cubism,0.313506
monet/monet_test_1.jpg,claude-monet,Impressionism,cityscape,Impressionism,0.881054,Post_Impressionism,0.677677,Realism,0.470288,Baroque,0.459917,Expressionism,0.333357
monet/monet_test_2.jpg,claude-monet,Impressionism,genre_painting,Impressionism,0.845362,Post_Impressionism,0.685066,Realism,0.550833,Symbolism,0.538570,Baroque,0.307673
monet/monet_test_3.jpg,claude-monet,Realism,landscape,Impressionism,0.902712,Post_Impressionism,0.634484,Realism,0.468823,Symbolism,0.356553,High_Renaissance,0.285589
monet/monet_test_4.jpg,claude-monet,Impressionism,cityscape,Impressionism,0.911832,Post_Impressionism,0.565514,Realism,0.434477,High_Renaissance,0.384580,Symbolism,0.331258
monet/monet_test_5.jpg,claude-monet,Impressionism,landscape,Impressionism,0.913605,Post_Impressionism,0.605299,Baroque,0.366811,Realism,0.328764,Early_Renaissance,0.317665
