image_path,artist,style,genre,genre_top1_name,genre_top1_score,genre_top2_name,genre_top2_score,genre_top3_name,genre_top3_score,genre_top4_name,genre_top4_score,genre_top5_name,genre_top5_score
van_gogh/van_gogh_test_0.jpg,vincent-van-gogh,Realism,sketch_and_study,genre_painting,0.851824,sketch_and_study,0.713439,landscape,0.497235,still_life,0.304056,cityscape,0.299748
van_gogh/van_gogh_test_1.jpg,vincent-van-gogh,Post_Impressionism,genre_painting,genre_painting,0.830362,landscape,0.749104,portrait,0.438415,still_life,0.412200,sketch_and_study,0.305772
van_gogh/van_gogh_test_2.jpg,vincent-van-gogh,Realism,cityscape,landscape,0.823962,genre_painting,0.704816,cityscape,0.508160,sketch_and_study,0.416735,portrait,0.335716
van_gogh/van_gogh_test_3.jpg,vincent-van-gogh,Post_Impressionism,still_life,genre_painting,0.723985,landscape,0.706301,still_life,0.663564,sketch_and_study,0.553048,portrait,0.313227
van_gogh/van_gogh_test_4.jpg,vincent-van-gogh,Realism,still_life,still_life,0.811387,genre_painting,0.721911,portrait,0.476051,sketch_and_study,0.459651,landscape,0.393214
van_gogh/van_gogh_test_5.jpg,vincent-van-gogh,Realism,sketch_and_study,genre_painting,0.881771,sketch_and_study,0.654042,portrait,0.398432,still_life,0.345866,religious_painting,0.292957
van_gogh/van_gogh_test_6.jpg,vincent-van-gogh,Post_Impressionism,cityscape,landscape,0.748279,genre_painting,0.740253,cityscape,0.592427,sketch_and_study,0.504601,portrait,0.363932
van_gogh/van_gogh_test_7.jpg,vincent-van-gogh,Realism,landscape,landscape,0.856623,genre_painting,0.698861,cityscape,0.422253,portrait,0.374810,sketch_and_study,0.351315
van_gogh/van_gogh_test_8.jpg,vincent-van-gogh,Realism,genre_painting,genre_painting,0.875137,sketch_and_study,0.585777,portrait,0.540228,still_life,0.368238,nude_painting,0.292950
van_gogh/van_gogh_test_9.jpg,vincent-van-gogh,Realism,sketch_and_study,genre_painting,0.864037,sketch_and_study,0.697797,nude_painting,0.453900,portrait,0.325193,still_life,0.300919
monet/monet_test_0.jpg,claude-monet,Impressionism,landscape,landscape,0.892016,genre_painting,0.457729,cityscape,0.442452,portrait,0.413576,sketch_and_study,0.391864
monet/monet_test_1.jpg,claude-monet,Impressionism,cityscape,landscape,0.835714,genre_painting,0.636617,cityscape,0.636151,portrait,0.342102,sketch_and_study,0.316968
monet/monet_test_2.jpg,claude-monet,Impressionism,genre_painting,genre_painting,0.797618,landscape,0.676982,portrait,0.634257,sketch_and_study,0.380292,nude_painting,0.349978
monet/monet_test_3.jpg,claude-monet,Realism,landscape,landscape,0.907869,portrait,0.471442,cityscape,0.364407,genre_painting,0.350116,nude_painting,0.337541
monet/monet_test_4.jpg,claude-monet,Impressionism,cityscape,cityscape,0.880907,landscape,0.649278,genre_painting,0.416427,portrait,0.336621,sketch_and_study,0.333031
