image_path,artist,style,genre,target_keys,target_reason
van_gogh/van_gogh_0.jpg,vincent-van-gogh,Post_Impressionism,still_life,"artist: vincent-van-gogh
style: Post_Impressionism
genre: still_life","The image depicts a pair of worn leather boots with thick, swirling brushstrokes in earthy yellows, browns, and greens, hallmarks of Vincent van Gogh's expressive technique. The textured impasto and vibrant color contrasts evoke emotional depth typical of Post-Impressionism. As a focused arrangement of everyday objects on a tiled floor, it exemplifies still life genre."
van_gogh/van_gogh_1.jpg,vincent-van-gogh,Realism,genre_painting,"artist: vincent-van-gogh
style: Realism
genre: genre_painting","The image depicts a seated woman intently sewing, captured in loose, expressive pencil strokes with heavy shading typical of Vincent van Gogh's early realist drawings. The realistic portrayal of everyday peasant life, with detailed folds in clothing and a focused pose, aligns with Realism. This domestic scene of needlework exemplifies genre painting, focusing on ordinary activities."
van_gogh/van_gogh_2.jpg,vincent-van-gogh,Realism,landscape,"artist: vincent-van-gogh
style: Realism
genre: landscape","The painting depicts a rural landscape with a thatched cottage nestled among dense, dark trees, rendered in earthy tones and meticulous detail characteristic of Vincent van Gogh's early realist phase. A solitary figure stands in the doorway, adding a human element to the natural setting, while subtle smoke from the chimney enhances the atmospheric depth. The realistic portrayal of foliage, architecture, and lighting aligns with van Gogh's landscape works from the 1880s."
van_gogh/van_gogh_3.jpg,vincent-van-gogh,Post_Impressionism,landscape,"artist: vincent-van-gogh
style: Post_Impressionism
genre: landscape","The image shows swirling, expressive brushstrokes and vibrant greens typical of Vincent van Gogh's technique. Thick impasto and distorted forms emphasize emotion over realism, hallmarks of Post-Impressionism. It portrays a forest landscape with tall trees and undergrowth."
van_gogh/van_gogh_4.jpg,vincent-van-gogh,Realism,sketch_and_study,"artist: vincent-van-gogh
style: Realism
genre: sketch_and_study","The image depicts a peasant woman bent over digging in a field with loose, gestural lines typical of Vincent van Gogh's sketch studies. The realistic rendering of clothing folds, posture, and rural labor captures everyday life without exaggeration. Hatching and contour lines emphasize form and movement in this preparatory drawing."
van_gogh/van_gogh_5.jpg,vincent-van-gogh,Realism,sketch_and_study,"artist: vincent-van-gogh
style: Realism
genre: sketch_and_study","The image depicts a solitary figure laboring in a rural landscape with tall trees and fields, rendered in loose, gestural ink lines typical of Vincent van Gogh's preparatory sketches. The realistic portrayal of human form, clothing, and environment emphasizes everyday peasant life without impressionistic color or distortion. As a monochromatic study, it focuses on anatomical movement, texture, and spatial depth through hatching and contour."
van_gogh/van_gogh_6.jpg,vincent-van-gogh,Realism,sketch_and_study,"artist: vincent-van-gogh
style: Realism
genre: sketch_and_study","The image features loose, expressive pencil strokes with cross-hatching for shading, characteristic of Vincent van Gogh's early sketch techniques. The subject, a bearded man in simple clothing seated on a wooden chair, matches van Gogh's realistic studies of peasants and laborers. Detailed facial features and naturalistic proportions align with realism rather than his later impressionistic style."
van_gogh/van_gogh_7.jpg,vincent-van-gogh,Post_Impressionism,sketch_and_study,"artist: vincent-van-gogh
style: Post_Impressionism
genre: sketch_and_study","The loose, swirling pencil strokes and expressive facial features capture Van Gogh's dynamic sketching technique. Bold contours and textured shading emphasize emotion and form typical of Post-Impressionism. The informal profile study of an elderly man with a pipe fits his genre of quick peasant sketches."
van_gogh/van_gogh_8.jpg,vincent-van-gogh,Post_Impressionism,landscape,"artist: vincent-van-gogh
style: Post_Impressionism
genre: landscape","The image shows twisted olive trees with swirling, thick brushstrokes and vibrant yellows and blues on a sunlit field, hallmarks of Vincent van Gogh's expressive technique. Bold, textured impasto and emotional color contrasts define Post-Impressionism here. The rural outdoor scene clearly fits the landscape genre."
van_gogh/van_gogh_9.jpg,vincent-van-gogh,Post_Impressionism,landscape,"artist: vincent-van-gogh
style: Post_Impressionism
genre: landscape","The painting showcases swirling, thick impasto brushstrokes and vibrant, contrasting colors like swirling yellow skies and earthy reds, hallmarks of Vincent van Gogh's Post-Impressionist technique. Dynamic forms in the rocky cliffs, winding river, and natural arch convey emotional intensity typical of his landscapes. Bold outlines and textured application reinforce the landscape genre."
